id,points
183876,"[[2894.948717948718, 856.4102564102564], [3335.974358974359, 1092.3076923076924]]"
183876,"[[3215.4615384615386, 1233.3333333333333], [3384.6923076923076, 1361.5384615384614]]"
183876,"[[2289.8205128205127, 2035.8974358974358], [2894.948717948718, 2210.25641025641]]"
183876,"[[2679.5641025641025, 1658.974358974359], [3435.974358974359, 2012.8205128205127]]"
183876,"[[3118.025641025641, 2012.8205128205127], [3412.8974358974356, 2143.5897435897436]]"
183878,"[[3190.225806451613, 1729.032258064516], [3461.1935483870966, 1958.0645161290322]]"
183878,"[[3170.8709677419356, 2832.2580645161293], [3474.0967741935483, 3012.9032258064517]]"
183878,"[[2987.0, 3103.225806451613], [3177.3225806451615, 3264.516129032258]]"
183878,"[[2951.516129032258, 3280.6451612903224], [3161.1935483870966, 3425.8064516129034]]"
183878,"[[2970.8709677419356, 3461.2903225806454], [3332.1612903225805, 3645.1612903225805]]"
183881,"[[570.6666666666667, 3846.666666666667], [2150.666666666667, 4306.666666666667]]"
183919,"[[297.2972972972973, 910.8108108108108], [681.081081081081, 1062.162162162162]]"
183942,"[[379.0, 148.0], [2444.0, 398.0]]"
183942,"[[902.7142857142856, 3153.5714285714284], [2488.428571428571, 3346.428571428571]]"
183942,"[[2163.428571428571, 2842.8571428571427], [2338.428571428571, 2978.5714285714284]]"
183943,"[[374.0, 143.0], [2444.0, 428.0]]"
183943,"[[894.0, 3153.0], [2509.0, 3373.0]]"
183971,"[[487.3225806451612, 2022.5806451612902], [1190.5483870967741, 2338.7096774193546]]"
183971,"[[2016.3548387096776, 2051.6129032258063], [3387.3225806451615, 2309.6774193548385]]"
183971,"[[1406.6774193548385, 3851.6129032258063], [1822.8064516129034, 4070.967741935484]]"
184010,"[[1266.090909090909, 2806.060606060606], [1432.7575757575758, 2942.4242424242425]]"
184011,"[[2637.666666666667, 1080.0], [3217.666666666667, 1326.6666666666667]]"
184012,"[[2353.4883720930234, 2658.139534883721], [3155.813953488372, 3134.883720930233]]"
184015,"[[2754.818181818182, 1622.7272727272727], [3168.454545454545, 1836.3636363636363]]"
184015,"[[2732.090909090909, 3977.2727272727275], [3223.0, 4204.545454545455]]"
184018,"[[391.090909090909, 1831.8181818181818], [941.090909090909, 2163.6363636363635]]"
184064,"[[563.2608695652175, 1496.5652173913043], [1219.782608695652, 1740.0434782608695]]"
184064,"[[2369.4444444444443, 2138.888888888889], [2525.0, 2269.4444444444443]]"
184064,"[[1855.5555555555557, 2366.666666666667], [1969.4444444444443, 2522.222222222222]]"
184065,"[[252.75862068965534, 80.44827586206897], [2076.896551724138, 321.82758620689657]]"
184065,"[[1514.8275862068967, 1104.5862068965519], [2021.7241379310349, 1408.0344827586207]]"
184067,"[[139.57142857142844, 85.71428571428571], [1539.5714285714284, 234.28571428571428]]"
184068,"[[266.55172413793116, 101.13793103448276], [2080.344827586207, 308.0344827586207]]"
184068,"[[1532.0689655172414, 1111.4827586206898], [2001.034482758621, 1408.0344827586207]]"
184076,"[[1474.7142857142853, 2654.285714285714], [2591.8571428571427, 3205.7142857142853]]"
184076,"[[346.1428571428571, 3425.7142857142853], [2331.8571428571427, 3868.571428571428]]"
184078,"[[130.15789473684208, 239.68421052631578], [593.3157894736842, 655.4736842105264]]"
184078,"[[82.7894736842104, 766.0], [509.10526315789457, 1097.578947368421]]"
184078,"[[35.42105263157873, 1355.4736842105262], [582.7894736842104, 1802.842105263158]]"
184078,"[[193.31578947368416, 2229.157894736842], [682.7894736842104, 2634.4210526315787]]"
184078,"[[9.10526315789457, 2234.4210526315787], [193.31578947368416, 2597.578947368421]]"
184078,"[[3.8421052631579187, 2834.4210526315787], [209.10526315789457, 3197.578947368421]]"
184078,"[[224.89473684210543, 2808.1052631578946], [756.4736842105262, 3181.7894736842104]]"
184078,"[[14.368421052631675, 3587.0526315789475], [177.52631578947376, 3887.0526315789475]]"
184078,"[[272.26315789473665, 3529.157894736842], [661.7368421052629, 3902.842105263158]]"
184101,"[[244.66666666666697, 172.44444444444446], [3139.1111111111113, 750.2222222222223]]"
184101,"[[411.3333333333335, 844.6666666666667], [3122.4444444444443, 1466.888888888889]]"
184102,"[[2157.285714285714, 1979.9999999999998], [2571.5714285714284, 2188.5714285714284]]"
184102,"[[2128.7142857142853, 2365.7142857142853], [2640.142857142857, 2605.7142857142853]]"
184104,"[[537.2631578947367, 2461.684210526316], [1058.3157894736842, 2740.6315789473683]]"
184105,"[[563.0, 687.0], [2333.0, 1037.0]]"
184105,"[[1963.0, 2472.0], [2348.0, 2827.0]]"
184105,"[[2123.0, 2907.0], [2908.0, 3482.0]]"
184127,"[[297.2051282051282, 179.48717948717947], [1038.2307692307693, 471.79487179487177]]"
184127,"[[2451.0512820512818, 423.07692307692304], [2604.8974358974356, 582.051282051282]]"
184127,"[[2125.4102564102564, 1384.6153846153845], [3025.4102564102564, 2161.5384615384614]]"
184127,"[[2099.7692307692305, 2897.4358974358975], [3020.2820512820513, 3166.6666666666665]]"
184127,"[[1592.076923076923, 3741.025641025641], [3084.3846153846152, 4505.128205128205]]"
184130,"[[281.1290322580646, 190.32258064516128], [1032.741935483871, 480.64516129032256]]"
184130,"[[2442.4193548387098, 409.6774193548387], [2623.064516129032, 609.6774193548387]]"
184130,"[[2123.064516129032, 1348.3870967741937], [2968.225806451613, 2183.8709677419356]]"
184130,"[[2100.483870967742, 2887.0967741935483], [3029.516129032258, 3170.967741935484]]"
184130,"[[1552.0967741935483, 3725.8064516129034], [3155.3225806451615, 4538.709677419355]]"
184145,"[[295.65116279069764, 2218.6046511627906], [1091.0, 2518.6046511627906]]"
184145,"[[1758.4418604651164, 2293.0232558139537], [2497.9767441860467, 2572.093023255814]]"
184145,"[[1872.3953488372094, 2627.906976744186], [1953.7906976744184, 2776.7441860465115]]"
184145,"[[4.953488372093034, 3993.0232558139537], [116.58139534883719, 4172.093023255814]]"
184146,"[[1782.1794871794873, 856.4102564102564], [2430.897435897436, 1341.0256410256409]]"
184148,"[[1931.5897435897436, 1364.102564102564], [2429.025641025641, 1715.3846153846152]]"
184148,"[[1929.025641025641, 1987.179487179487], [2457.230769230769, 2330.7692307692305]]"
184156,"[[1905.0, 1250.0], [2415.0, 1540.0]]"
184156,"[[642.285714285714, 1542.8571428571427], [2160.142857142857, 1732.1428571428569]]"
184156,"[[1713.7142857142853, 2003.5714285714284], [2463.7142857142853, 2574.9999999999995]]"
184157,"[[536.0, 136.5], [1931.8333333333335, 332.33333333333337]]"
184157,"[[1465.292682926829, 1558.5365853658536], [2218.9512195121947, 1812.1951219512193]]"
184157,"[[560.4146341463413, 3131.7073170731705], [1938.4634146341464, 3395.121951219512]]"
184159,"[[535.3333333333335, 120.0], [1895.3333333333335, 303.33333333333337]]"
184159,"[[1452.0, 1563.3333333333335], [2222.0, 1816.6666666666667]]"
184159,"[[555.3333333333335, 3103.3333333333335], [1912.0, 3406.666666666667]]"
184251,"[[416.90909090909076, 542.4242424242424], [904.7878787878788, 763.6363636363636]]"
184251,"[[768.4242424242423, 1772.7272727272727], [874.4848484848485, 1866.6666666666665]]"
184251,"[[401.75757575757575, 1987.8787878787878], [904.7878787878788, 2187.878787878788]]"
184251,"[[795.6969696969695, 1887.8787878787878], [877.5151515151515, 1987.8787878787878]]"
184251,"[[780.5454545454545, 2872.7272727272725], [871.4545454545453, 2960.6060606060605]]"
184252,"[[702.3333333333335, 223.33333333333334], [1752.3333333333335, 440.0]]"
184252,"[[1522.3333333333335, 3536.666666666667], [2735.666666666667, 3976.666666666667]]"
184253,"[[507.91666666666674, 987.5], [1530.8333333333335, 1097.9166666666667]]"
184253,"[[2116.25, 860.4166666666667], [2657.916666666667, 1202.0833333333335]]"
184253,"[[1930.8333333333335, 3700.0], [2151.666666666667, 3835.416666666667]]"
184255,"[[2213.0, 3529.032258064516], [2635.5806451612902, 3958.064516129032]]"
184257,"[[348.41935483870975, 1170.967741935484], [1016.1612903225807, 1780.6451612903227]]"
184257,"[[348.41935483870975, 2448.3870967741937], [871.0, 2777.4193548387098]]"
184258,"[[2169.4193548387098, 629.0322580645161], [2837.1612903225805, 1103.225806451613]]"
184258,"[[2195.2258064516127, 1622.5806451612902], [2679.0967741935483, 1854.8387096774193]]"
184258,"[[2130.7096774193546, 3154.8387096774195], [2833.935483870968, 3841.935483870968]]"
184258,"[[2821.032258064516, 2509.6774193548385], [2895.225806451613, 3403.225806451613]]"
184259,"[[2165.7575757575755, 1272.7272727272727], [2874.8484848484845, 2336.363636363636]]"
184259,"[[2162.7272727272725, 2421.212121212121], [2890.0, 2872.7272727272725]]"
184259,"[[2190.0, 3333.333333333333], [2774.8484848484845, 3566.6666666666665]]"
184260,"[[659.9259259259259, 170.37037037037035], [1815.4814814814813, 548.1481481481482]]"
184261,"[[564.5714285714284, 3121.428571428571], [860.9999999999998, 4289.285714285714]]"
184262,"[[994.9259259259256, 733.3333333333333], [1202.333333333333, 851.8518518518518]]"
184262,"[[1006.4594594594594, 972.972972972973], [1244.2972972972973, 1083.7837837837837]]"
184262,"[[1471.3243243243242, 967.5675675675676], [2038.891891891892, 1100.0]]"
184263,"[[492.7037037037037, 2025.9259259259259], [1018.6296296296296, 2277.777777777778]]"
184266,"[[1804.8571428571427, 417.85714285714283], [2351.2857142857138, 921.4285714285713]]"
184266,"[[1620.3225806451615, 1664.516129032258], [2326.7741935483873, 1890.3225806451612]]"
184266,"[[1733.2258064516127, 2203.2258064516127], [2333.225806451613, 2712.9032258064517]]"
184267,"[[193.66666666666674, 2450.0], [587.0, 2606.666666666667]]"
184267,"[[1100.3333333333335, 2340.0], [1337.0, 2443.3333333333335]]"
184267,"[[1343.4634146341461, 2326.8292682926826], [1753.2195121951218, 2487.80487804878]]"
184267,"[[1084.9268292682925, 2475.609756097561], [1401.9999999999998, 2575.609756097561]]"
184269,"[[1692.7142857142853, 1742.8571428571427], [2306.9999999999995, 2221.428571428571]]"
184269,"[[470.66666666666663, 2553.846153846154], [2257.846153846154, 2807.6923076923076]]"
184269,"[[577.2978723404254, 2780.851063829787], [1879.4255319148936, 2919.1489361702124]]"
184269,"[[1880.281690140845, 2805.6338028169016], [2312.6760563380285, 2980.281690140845]]"
184269,"[[1759.1549295774648, 2911.2676056338028], [1880.281690140845, 2991.549295774648]]"
184269,"[[570.4225352112676, 2914.084507042254], [1757.7464788732395, 3012.6760563380285]]"
184269,"[[552.112676056338, 3014.084507042254], [883.0985915492959, 3167.605633802817]]"
184269,"[[884.5070422535211, 3007.042253521127], [1863.380281690141, 3123.9436619718313]]"
184269,"[[535.2112676056338, 3167.605633802817], [887.3239436619718, 3252.1126760563384]]"
184269,"[[876.0563380281691, 3136.6197183098593], [1066.1971830985915, 3235.211267605634]]"
184269,"[[1107.042253521127, 3119.718309859155], [1491.549295774648, 3229.5774647887324]]"
184269,"[[174.64788732394368, 3228.169014084507], [1025.3521126760563, 3357.7464788732395]]"
184269,"[[1025.3521126760563, 3212.6760563380285], [1656.3380281690143, 3360.56338028169]]"
184269,"[[422.53521126760563, 3319.718309859155], [1749.2957746478874, 3470.4225352112676]]"
184269,"[[170.42253521126761, 3459.154929577465], [1435.2112676056338, 3577.4647887323945]]"
184270,"[[1803.0, 1317.0], [2353.0, 1607.0]]"
184270,"[[1843.0, 2572.0], [2293.0, 2897.0]]"
184283,"[[384.67567567567573, 1500.0], [468.4594594594595, 1605.4054054054054]]"
184283,"[[684.6756756756756, 1343.2432432432433], [2636.027027027027, 2059.4594594594596]]"
184283,"[[2154.945945945946, 2008.1081081081081], [2611.702702702703, 2908.1081081081084]]"
184283,"[[617.1081081081081, 2710.810810810811], [1241.4324324324325, 3072.972972972973]]"
184283,"[[1973.864864864865, 2802.702702702703], [2565.7567567567567, 3294.5945945945946]]"
184283,"[[411.7027027027027, 81.08108108108108], [2995.4864864864867, 470.27027027027026]]"
184283,"[[1549.5405405405406, 4045.945945945946], [1654.9459459459458, 4140.540540540541]]"
184283,"[[395.48648648648646, 4140.540540540541], [2211.702702702703, 4381.081081081081]]"
184283,"[[2171.162162162162, 4408.108108108108], [2911.702702702703, 4567.5675675675675]]"
184283,"[[809.0, 3170.2702702702704], [2495.4864864864867, 3675.675675675676]]"
184284,"[[390.31578947368416, 54.15789473684211], [3016.6315789473683, 485.7368421052631]]"
184284,"[[658.7368421052629, 1312.0526315789473], [2621.894736842105, 1848.8947368421052]]"
184284,"[[758.7368421052629, 1696.2631578947369], [1348.2105263157896, 1996.2631578947367]]"
184284,"[[1895.5789473684208, 1806.7894736842104], [2474.5263157894733, 2080.4736842105262]]"
184284,"[[395.5789473684208, 2054.157894736842], [1242.9473684210525, 3069.9473684210525]]"
184284,"[[2127.1578947368416, 4354.157894736842], [2937.684210526316, 4606.789473684211]]"
184284,"[[390.31578947368416, 3985.736842105263], [2221.894736842105, 4401.526315789473]]"
184284,"[[779.7894736842104, 3133.1052631578946], [2500.8421052631575, 3706.7894736842104]]"
184284,"[[2100.8421052631575, 2006.7894736842104], [2648.210526315789, 2843.6315789473683]]"
184284,"[[1927.1578947368416, 2812.0526315789475], [2590.315789473684, 3275.2105263157896]]"
184293,"[[391.3333333333335, 93.33333333333334], [3001.3333333333335, 476.6666666666667]]"
184293,"[[379.2702702702703, 1505.4054054054054], [471.1621621621622, 1608.1081081081081]]"
184293,"[[676.5675675675675, 1327.027027027027], [2617.1081081081084, 1843.2432432432433]]"
184293,"[[779.2702702702702, 1708.1081081081081], [1349.5405405405406, 1975.6756756756756]]"
184293,"[[1887.3783783783783, 1840.5405405405406], [2449.5405405405404, 2064.864864864865]]"
184293,"[[2173.864864864865, 2013.5135135135135], [2609.0, 2840.5405405405404]]"
184293,"[[1975.4385964912278, 2824.5614035087715], [2564.9122807017543, 3287.7192982456136]]"
184293,"[[617.5438596491227, 2742.1052631578946], [1233.3333333333333, 3068.4210526315787]]"
184293,"[[814.0350877192982, 3184.210526315789], [2487.7192982456136, 3682.456140350877]]"
184293,"[[450.8771929824561, 4140.350877192982], [2214.035087719298, 4340.350877192982]]"
184293,"[[1547.3684210526314, 4047.368421052631], [1649.1228070175437, 4133.333333333333]]"
184293,"[[2168.4210526315787, 4391.228070175438], [2915.7894736842104, 4580.701754385965]]"
184294,"[[2185.666666666667, 1896.6666666666667], [2552.3333333333335, 2103.3333333333335]]"
184294,"[[2139.0, 2780.0], [2472.3333333333335, 3290.0]]"
184296,"[[2124.5757575757575, 1021.2121212121211], [2903.363636363636, 1290.9090909090908]]"
184296,"[[2230.6363636363635, 3054.5454545454545], [2848.8181818181815, 3321.212121212121]]"
184298,"[[133.59459459459458, 1810.8108108108108], [2825.4864864864867, 2072.972972972973]]"
184301,"[[1871.6296296296296, 977.7777777777777], [2286.4444444444443, 1229.6296296296296]]"
184301,"[[1690.1481481481478, 1155.5555555555554], [2171.6296296296296, 1311.111111111111]]"
184305,"[[1680.2631578947367, 1147.8947368421052], [2222.3684210526317, 1342.6315789473683]]"
184305,"[[1843.4210526315792, 979.4736842105264], [2311.8421052631575, 1179.4736842105262]]"
184307,"[[914.9999999999998, 2582.8571428571427], [1806.428571428571, 3057.142857142857]]"
184307,"[[2797.8571428571427, 2997.142857142857], [3092.142857142857, 3119.9999999999995]]"
184307,"[[2289.285714285714, 2859.9999999999995], [2620.7142857142853, 2982.8571428571427]]"
184310,"[[2011.0, 1975.0], [2556.0, 2185.0]]"
184310,"[[1581.0, 4130.0], [1796.0, 4300.0]]"
184322,"[[1119.7894736842104, 171.42105263157896], [2077.684210526316, 534.578947368421]]"
184322,"[[1246.2972972972973, 800.0], [1376.027027027027, 937.8378378378378]]"
184328,"[[297.5348837209302, 181.3953488372093], [3364.9767441860467, 593.0232558139535]]"
184328,"[[311.48837209302326, 883.7209302325582], [816.1395348837209, 1223.2558139534883]]"
184328,"[[1237.0697674418604, 1006.9767441860465], [1418.46511627907, 1086.046511627907]]"
184328,"[[1483.5813953488373, 1013.953488372093], [1648.6976744186047, 1090.6976744186047]]"
184328,"[[3039.3953488372094, 827.9069767441861], [3360.3255813953488, 1016.2790697674419]]"
184328,"[[337.06976744186045, 1776.7441860465117], [841.7209302325582, 2209.3023255813955]]"
184328,"[[1027.7674418604652, 1539.5348837209303], [1364.9767441860465, 2125.5813953488373]]"
184328,"[[1513.8139534883721, 1551.1627906976744], [1804.5116279069769, 1725.5813953488373]]"
184328,"[[1518.46511627907, 1725.5813953488373], [1848.6976744186047, 2060.4651162790697]]"
184328,"[[1969.6279069767443, 1425.5813953488373], [3318.4651162790697, 1658.139534883721]]"
184328,"[[1978.2222222222222, 1702.7777777777778], [3336.5555555555557, 2408.3333333333335]]"
184328,"[[2067.1111111111113, 2438.888888888889], [2464.3333333333335, 2525.0]]"
184328,"[[1556.0, 2230.5555555555557], [1778.2222222222222, 2311.1111111111113]]"
184328,"[[1511.5555555555557, 2322.222222222222], [1694.8888888888891, 2427.777777777778]]"
184328,"[[1436.5555555555557, 2433.3333333333335], [1608.7777777777778, 2533.3333333333335]]"
184328,"[[1522.6666666666667, 2527.777777777778], [1794.8888888888891, 2608.3333333333335]]"
184328,"[[1233.3333333333333, 2675.7575757575755], [1404.5454545454545, 2795.4545454545455]]"
184328,"[[1004.5454545454545, 2709.090909090909], [1122.7272727272727, 2793.939393939394]]"
184328,"[[1340.9090909090908, 2959.090909090909], [1843.9393939393938, 3072.7272727272725]]"
184328,"[[1751.5151515151515, 2621.212121212121], [1918.181818181818, 2689.3939393939395]]"
184328,"[[2157.5757575757575, 2610.6060606060605], [2412.121212121212, 2684.8484848484845]]"
184328,"[[2346.969696969697, 2680.30303030303], [2648.4848484848485, 2754.5454545454545]]"
184328,"[[2665.151515151515, 2665.151515151515], [2984.8484848484845, 2748.4848484848485]]"
184328,"[[2990.1234567901233, 2409.876543209876], [3356.79012345679, 2979.012345679012]]"
184328,"[[322.66666666666674, 2350.0], [994.8888888888889, 3269.4444444444443]]"
184328,"[[2469.888888888889, 3341.666666666667], [3377.7777777777774, 3914.814814814815]]"
184328,"[[351.85185185185185, 3329.6296296296296], [862.9629629629629, 3864.814814814815]]"
184328,"[[894.4444444444443, 3464.814814814815], [1394.4444444444443, 3653.7037037037035]]"
184328,"[[1062.9629629629628, 3662.9629629629626], [1414.8148148148148, 3751.8518518518517]]"
184328,"[[1200.0, 3761.111111111111], [1516.6666666666665, 3827.7777777777774]]"
184328,"[[935.1851851851851, 3835.1851851851848], [1238.888888888889, 3912.9629629629626]]"
184328,"[[1350.0, 3824.074074074074], [1442.5925925925926, 3914.814814814815]]"
184328,"[[1468.5185185185185, 3844.4444444444443], [1855.5555555555554, 3914.814814814815]]"
184328,"[[1818.5185185185185, 3561.111111111111], [2009.2592592592591, 3644.4444444444443]]"
184328,"[[3437.254901960784, 166.66666666666666], [3527, 672]]"
184328,"[[3370.176470588235, 670.5882352941176], [3527, 3285]]"
184328,"[[3434.882352941176, 3467.6470588235293], [3527, 3696]]"
184328,"[[384.88235294117635, 3870.5882352941176], [3387.8235294117644, 4582.35294117647]]"
184331,"[[2732.0, 268.0], [2942.0, 453.0]]"
184331,"[[207.0, 3343.0], [627.0, 3723.0]]"
184331,"[[1017.0, 3313.0], [1607.0, 3903.0]]"
184331,"[[1812.0, 2628.0], [2652.0, 3503.0]]"
184331,"[[440.46153846153845, 2153.846153846154], [2771.230769230769, 2653.846153846154]]"
184331,"[[968.6666666666665, 2510.25641025641], [1707.128205128205, 2825.6410256410254]]"
184331,"[[196.87179487179486, 2615.3846153846152], [681.4871794871794, 3187.1794871794873]]"
184331,"[[2709.6923076923076, 3402.5641025641025], [2804.5641025641025, 3489.74358974359]]"
184332,"[[2647.0, 194.0], [2873.315789473684, 399.2631578947368]]"
184332,"[[294.3684210526317, 3351.8947368421054], [452.26315789473665, 3562.4210526315787]]"
184332,"[[1036.4736842105262, 3257.157894736842], [1220.6842105263158, 3467.684210526316]]"
184332,"[[1710.157894736842, 3199.2631578947367], [1899.6315789473683, 3404.5263157894738]]"
184332,"[[2315.421052631579, 3094.0], [2531.210526315789, 3272.9473684210525]]"
184332,"[[278.5789473684208, 2788.7368421052633], [473.31578947368416, 2946.6315789473683]]"
184332,"[[562.7894736842104, 2178.2105263157896], [3057.5263157894733, 2972.9473684210525]]"
184334,"[[1027.0, 3303.0], [1612.0, 3913.0]]"
184334,"[[192.0, 3298.0], [627.0, 3718.0]]"
184334,"[[192.0, 2613.0], [707.0, 3223.0]]"
184334,"[[1822.0, 2618.0], [2667.0, 3513.0]]"
184334,"[[427.0, 2128.0], [2772.0, 2663.0]]"
184334,"[[967.0, 2513.0], [1722.0, 2863.0]]"
184334,"[[2737.0, 263.0], [2942.0, 458.0]]"
184335,"[[495.89473684210543, 82.73684210526315], [3032.7368421052633, 314.3157894736842]]"
184335,"[[443.26315789473665, 4035.3684210526317], [2448.5263157894733, 4366.9473684210525]]"
184337,"[[483.07317073170725, 412.1951219512195], [1873.3170731707316, 626.8292682926829]]"
184337,"[[456.2439024390244, 604.8780487804878], [941.6097560975609, 909.7560975609755]]"
184337,"[[453.80487804878044, 1102.4390243902437], [958.6829268292681, 1407.3170731707316]]"
184337,"[[1453.8048780487804, 1365.8536585365853], [1561.121951219512, 1426.8292682926829]]"
184337,"[[1631.8536585365853, 1280.4878048780488], [1870.8780487804877, 1331.7073170731705]]"
184337,"[[2412.341463414634, 1334.1463414634145], [3092.8292682926826, 1436.5853658536585]]"
184337,"[[983.0731707317073, 2214.6341463414633], [1836.731707317073, 2331.7073170731705]]"
184337,"[[468.43902439024384, 2890.243902439024], [758.6829268292682, 3202.4390243902435]]"
184337,"[[714.780487804878, 2253.6585365853657], [1044.0487804878048, 3875.609756097561]]"
184337,"[[2687.9512195121947, 2021.951219512195], [3283.0731707317073, 2148.780487804878]]"
184337,"[[3417.2195121951218, 168.29268292682926], [3521, 452]]"
184337,"[[502.58536585365846, 3975.609756097561], [3451.3658536585363, 4658.536585365853]]"
184337,"[[1580.6341463414633, 1882.9268292682925], [1795.2682926829266, 1960.9756097560974]]"
184338,"[[836.1428571428571, 457.1428571428571], [1727.5714285714284, 1162.8571428571427]]"
184338,"[[833.2857142857142, 1137.142857142857], [1636.1428571428569, 1874.2857142857142]]"
184338,"[[2593.285714285714, 3368.5714285714284], [3507.571428571428, 3614.2857142857138]]"
184338,"[[796.1428571428571, 3259.9999999999995], [1710.428571428571, 3722.8571428571427]]"
184338,"[[813.2857142857142, 2142.8571428571427], [1790.428571428571, 2557.142857142857]]"
184338,"[[836.1428571428571, 2497.142857142857], [1821.8571428571427, 2762.8571428571427]]"
184338,"[[876.1428571428571, 2717.142857142857], [1941.8571428571427, 3165.7142857142853]]"
184400,"[[264.0, 2905.0], [704.0, 3170.0]]"
184400,"[[1294.0, 2840.0], [2114.0, 3425.0]]"
184400,"[[1259.0, 3920.0], [2109.0, 4315.0]]"
184404,"[[2.575757575757507, 381.8181818181818], [196.5151515151515, 2442.4242424242425]]"
184404,"[[1954.090909090909, 2281.8181818181815], [2593.4848484848485, 2866.6666666666665]]"
184406,"[[391.3333333333335, 613.2380952380953], [1777.0476190476193, 941.8095238095239]]"
184407,"[[1222.0, 3981.0810810810813], [2149.027027027027, 4181.081081081081]]"
184409,"[[374.9230769230769, 330.7692307692308], [1546.7179487179487, 710.2564102564103]]"
184409,"[[2546.7179487179487, 582.051282051282], [2828.7692307692305, 730.7692307692307]]"
184409,"[[2764.6666666666665, 1969.230769230769], [3341.5897435897436, 2184.6153846153848]]"
184409,"[[2774.9230769230767, 2307.6923076923076], [2956.974358974359, 2415.3846153846152]]"
184409,"[[2762.102564102564, 3343.5897435897436], [2910.8205128205127, 3451.2820512820513]]"
184409,"[[2767.230769230769, 3538.4615384615386], [2982.6153846153843, 3656.4102564102564]]"
184409,"[[251.8461538461538, 2994.871794871795], [444.1538461538462, 3092.3076923076924]]"
184409,"[[233.8974358974359, 3289.74358974359], [346.71794871794873, 3405.128205128205]]"
184409,"[[280.05128205128204, 3530.7692307692305], [367.2307692307692, 3617.948717948718]]"
184409,"[[310.8205128205128, 4094.871794871795], [395.4358974358974, 4210.25641025641]]"
184409,"[[1531.3333333333333, 2941.025641025641], [1631.3333333333333, 3033.333333333333]]"
184409,"[[1556.25, 4039.5833333333335], [1668.75, 4158.333333333334]]"
184410,"[[2555.142857142857, 605.7142857142857], [2889.428571428571, 802.8571428571428]]"
184410,"[[2795.142857142857, 3439.9999999999995], [3406.5714285714284, 3754.2857142857138]]"
184410,"[[2806.5714285714284, 3268.5714285714284], [3026.5714285714284, 3414.2857142857138]]"
184410,"[[280.8571428571428, 3817.142857142857], [366.57142857142856, 3908.571428571428]]"
184410,"[[312.2857142857142, 4268.571428571428], [1463.7142857142856, 4451.428571428571]]"
184410,"[[1592.285714285714, 3354.2857142857138], [1663.7142857142856, 3534.2857142857138]]"
184410,"[[2812.2857142857138, 2499.9999999999995], [3057.9999999999995, 2594.285714285714]]"
184410,"[[1577.9999999999998, 2200.0], [1666.5714285714284, 2462.8571428571427]]"
184411,"[[2012.5, 1008.3333333333334], [2277.0833333333335, 1093.75]]"
184411,"[[922.9166666666667, 1547.9166666666667], [1033.3333333333335, 1643.75]]"
184411,"[[902.0833333333334, 2016.6666666666667], [1010.4166666666667, 2110.416666666667]]"
184411,"[[897.9166666666667, 2314.5833333333335], [1012.5, 2393.75]]"
184411,"[[870.8333333333334, 2881.25], [1020.8333333333334, 3179.166666666667]]"
184411,"[[2172.916666666667, 3589.5833333333335], [2258.3333333333335, 3737.5]]"
184411,"[[2172.916666666667, 1979.1666666666667], [2268.75, 2054.166666666667]]"
